text,timestamp,our_model,vader
@Joshohha @nickwhoward @matmansd @marc_benton If you really knew as much as you think you did about Tesla you would know that.,1603678243.0,1,0.0
@ClimateBen I feel like I've done as much as I can to reduce our emissions on my own but my impact is like a drop i… https://t.co/Pd2QsEhcGf,1603678240.0,-1,0.3291
"RT @ChinaDaily: US electric-car maker #Tesla has started to recall 48,442 vehicles in #China, citing defective parts that could increase th…",1603678234.0,1,-0.1531
@StockLizardKing Thoughts on how the breaking Tesla news effects $spaq?,1603678226.0,1,0.0
@shonnburton @tesla_raj @elonmusk now mind you a map update IS a form of fleet learning too.,1603678221.0,-1,0.0
RT @ElectrekCo: Elon Musk: Tesla's next 'killer product' is Solar Roof https://t.co/Rfq8vIzSS1 by @fredericlambert,1603678211.0,-1,-0.6486
You know the weather sucks when this message pops up. #Tesla #teslamodel3 #badweather https://t.co/tvPergRQCp,1603678211.0,1,-0.3612
"Huh man listen
I just copped a Tesla in a pandemic @RexxLifeRaj https://t.co/nqkvJofDpL",1603678209.0,-1,0.0
RT @ThevneeS: @SiriusBShaman Tesla's uniqueness is obvious in this picture.,1603678206.0,1,0.0
@shonnburton @tesla_raj @elonmusk How much time passed? It was revealed Tesla closely watches these few cars so it'… https://t.co/uaiAFBhWoG,1603678205.0,-1,0.0
Private Airport/Hotel transfers in a Tesla X!! Enjoy a comfortable and a private transfer from your Hotel or accomm… https://t.co/x28ft8GeV8,1603678201.0,-1,0.7955
@PeteBloxham @elonmusk @arctechinc @Tesla Dyno mode was disabled in march as far as i know. Got my car in march and… https://t.co/ANgHTqF1n3,1603678185.0,-1,0.0
"RT @ChinaDaily: US electric-car maker #Tesla has started to recall 48,442 vehicles in #China, citing defective parts that could increase th…",1603678180.0,1,-0.1531
RT @TheTeslaLife: China forcing a recall on almost all #ModelS and #ModelX sold in the country for a suspension issue that #Tesla claims do…,1603678179.0,1,0.0
@Kristennetten @elonmusk @arctechinc @Tesla Guess it's in the late teens.,1603678177.0,1,0.0
@paraschopra Why is Tesla worth so much? Their cars are okaaay.. is it just the self driving data? Why can’t Toyota… https://t.co/jssA83gesD,1603678176.0,-1,0.3094
"RT @towncrier1969: @ChildrensHD Make Nicola Tesla great again, and roll out the free energy technologies!",1603678154.0,1,0.8687
RT @Bennyblacque: LMAO tesla owner's are trolling different https://t.co/wMERKHoxzj,1603678151.0,-1,0.6841
